Date Of Death Year,Date Of Death Month,Sex,Race/Ethnicity,AgeGroup,AllCause,NaturalCause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",AnalysisDate,Note,flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
2019,1,Female (F),Hispanic,0-4 years,184,164,,,0,0,,0,,0,22,,0,0,0,09/03/2020,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,
2019,1,Female (F),Hispanic,15-24 years,125,46,0,,,0,0,,,,,,,0,0,09/03/2020,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
2019,1,Female (F),Hispanic,25-34 years,198,100,,29,,0,,,,0,,,,0,0,09/03/2020,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
2019,1,Female (F),Hispanic,35-44 years,336,262,,96,,0,11,,,,,26,10,0,0,09/03/2020,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2019,1,Female (F),Hispanic,45-54 years,590,504,,212,40,,15,,,,,63,28,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2019,1,Female (F),Hispanic,5-14 years,44,28,,,,0,,,0,0,0,0,0,0,0,09/03/2020,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,
2019,1,Female (F),Hispanic,55-64 years,1001,952,20,369,63,,33,25,26,21,,148,36,0,0,09/03/2020,,,,,,,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,,,
2019,1,Female (F),Hispanic,65-74 years,1367,1323,22,385,88,32,41,43,38,54,,252,78,0,0,09/03/2020,,,,,,,,,,,,Suppressed (counts 1-9),,,,
2019,1,Female (F),Hispanic,75-84 years,1969,1926,34,368,96,126,55,77,58,54,,424,146,0,0,09/03/2020,,,,,,,,,,,,Suppressed (counts 1-9),,,,
2019,1,Female (F),Hispanic,85 years and over,2730,2672,28,275,83,375,93,115,38,44,19,749,242,0,0,09/03/2020,,,,,,,,,,,,,,,,
2019,1,Female (F),Non-Hispanic American Indian or Alaska Native,0-4 years,17,15,0,0,0,0,0,0,0,0,,0,0,0,0,09/03/2020,,,,,,,,,,,,Suppressed (counts 1-9),,,,
2019,1,Female (F),Non-Hispanic American Indian or Alaska Native,15-24 years,12,,0,0,0,0,,0,0,0,0,0,0,0,0,09/03/2020,,,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,,,,,,,
2019,1,Female (F),Non-Hispanic American Indian or Alaska Native,25-34 years,43,21,0,0,,0,,0,0,,0,,0,0,0,09/03/2020,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,
